Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b),Arnemuiden,649,11419,1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b),Arnhem,202,10795,185,957,0.19331243469174503
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b),Asperen,488,11369,1,20,0.05
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b),Assen,106,10522,12,179,0.0670391061452514
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b),Assendelft,367,11373,5,32,0.15625
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b),Asten,743,10478,1,18,0.05555555555555555
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b),Avenhorn,368,11147,0,9,0.0
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b),Avereest,143,11190,5,18,0.2777777777777778
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b),Axel,650,11289,2,20,0.1
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b),Baarderadeel,61,10422,1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b),Baardwijk,1015,10006,0,1,0.0
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b),Baarland,651,10634,1,1,1.0
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b),Baarle-Nassau,744,10060,0,1,0.0
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b),Baarn,308,11411,6,52,0.11538461538461539
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b),Baexem,886,11255,0,0,0.0
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b),Baflo,4,10539,0,7,0.0
(?:[^a-zA-Z]|\b)bakel.?en.?milheeze(?:[^a-zA-Z]|\b),Bakel en Milheeze,745,10749,0,0,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),Balgoij,1016,10849,0,0,0.0
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),Barneveld,203,10906,0,24,0.0
