Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b),Apeldoorn,200,11075,0,132,0.0
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b),Appeltern,201,11296,0,12,0.0
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b),Appingedam,3,10886,0,49,0.0
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b),Arcen en Velden,885,10202,0,3,0.0
(?:[^a-zA-Z]|\b)arkel(?:[^a-zA-Z]|\b),Arkel,487,10079,0,6,0.0
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b),Arnemuiden,649,11419,0,1,0.0
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b),Arnhem,202,10795,3,1339,0.0022404779686333084
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b),Asperen,488,11369,0,21,0.0
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b),Assen,106,10522,0,469,0.0
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b),Assendelft,367,11373,0,7,0.0
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b),Asten,743,10478,0,38,0.0
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b),Avenhorn,368,11147,0,1,0.0
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b),Avereest,143,11190,0,15,0.0
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b),Axel,650,11289,0,22,0.0
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b),Baarderadeel,61,10422,0,16,0.0
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b),Baardwijk,1015,10006,0,6,0.0
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b),Baarland,651,10634,0,2,0.0
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b),Baarle-Nassau,744,10060,0,0,0.0
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b),Baarn,308,11411,0,28,0.0
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b),Baexem,886,11255,0,0,0.0
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b),Baflo,4,10539,0,1,0.0
(?:[^a-zA-Z]|\b)bakel.?en.?milheeze(?:[^a-zA-Z]|\b),Bakel en Milheeze,745,10749,0,0,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),Balgoij,1016,10849,0,1,0.0
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),Barneveld,203,10906,0,83,0.0
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),Barradeel,62,10156,0,13,0.0
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),Barsingerhorn,369,10973,0,4,0.0
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b),Barwoutswaarder,1017,10447,0,0,0.0
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b),Batenburg,204,10921,0,31,0.0
(?:[^a-zA-Z]|\b)bath(?:[^a-zA-Z]|\b),Bath,1018,10623,0,9,0.0
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b),Bathmen,144,11030,0,9,0.0
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b),Bedum,5,10425,0,9,0.0
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b),Beegden,887,11089,0,5,0.0
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b),Beek (L.),888,11374,0,210,0.0
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b),Beek en Donk,746,10173,0,21,0.0
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b),Beemster,370,10816,0,13,0.0
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b),Beers,747,11410,0,17,0.0
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b),Beerta,6,11043,0,21,0.0
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b),Beesd,205,10259,0,8,0.0
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b),Beesel,889,10195,0,15,0.0
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b),Beets,371,10536,0,47,0.0
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b),Beilen,107,10520,0,42,0.0
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b),Belfeld,890,10292,0,5,0.0
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b),Bellingwolde,1019,10340,0,0,0.0
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b),Bemelen,891,10878,0,1,0.0
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b),Bemmel,206,10744,0,74,0.0
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b),Bennebroek,372,10734,0,6,0.0
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b),Benschop,309,11330,0,7,0.0
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b),Benthuizen,490,10398,0,20,0.0
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b),Berg en Terblijt,892,10796,0,2,0.0
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b),Bergambacht,491,10962,0,5,0.0
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (L.),893,11281,0,267,0.0
