Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b);Baarland;651;10634
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b);Baarle-Nassau;744;10060
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b);Baarn;308;11411
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b);Baexem;886;11255
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b);Baflo;4;10539
(?:[^a-zA-Z]|\b)bakel.?en.?milheeze(?:[^a-zA-Z]|\b);Bakel en Milheeze;745;10749
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b);Balgoij;1016;10849
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b);Barneveld;203;10906
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b);Barradeel;62;10156
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b);Barsingerhorn;369;10973
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b);Barwoutswaarder;1017;10447
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b);Batenburg;204;10921
(?:[^a-zA-Z]|\b)bath(?:[^a-zA-Z]|\b);Bath;1018;10623
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b);Bathmen;144;11030
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b);Bedum;5;10425
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b);Beegden;887;11089
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b);Beek (L.);888;11374
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b);Beek en Donk;746;10173
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b);Beemster;370;10816
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b);Beers;747;11410
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b);Beerta;6;11043
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b);Beesd;205;10259
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b);Beesel;889;10195
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b);Beets;371;10536
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b);Beilen;107;10520
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b);Belfeld;890;10292
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b);Bellingwolde;1019;10340
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b);Bemelen;891;10878
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b);Bemmel;206;10744
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b);Bennebroek;372;10734
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b);Benschop;309;11330
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b);Benthuizen;490;10398
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b);Berg en Terblijt;892;10796
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b);Bergambacht;491;10962
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b);Bergen (L.);893;11281
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b);Bergen (NH.);373;11424
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b);Bergen op Zoom;748;11037
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b);Bergeyk;749;11160
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b);Bergh;207;10350
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b);Bergharen;208;10883
(?:[^a-zA-Z]|\b)ber(g|c)h?em(?:[^a-zA-Z]|\b);Berghem;750;10733
