Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)bakel(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)barendrecht(?:[^a-zA-Z]|\b),5,34,0.14705882352941177
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),5,30,0.16666666666666666
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),7,20,0.35
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),1,5,0.2
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b),8,22,0.36363636363636365
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b),0,22,0.0
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b),2,5,0.4
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b),9,126,0.07142857142857142
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b),0,5,0.0
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b),1,20,0.05
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b),0,7,0.0
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b),6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b),3,5,0.6
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b),1,15,0.06666666666666667
(?:[^a-zA-Z]|\b)nieuw.?be(ij|y)erland(?:[^a-zA-Z]|\b),4,21,0.19047619047619047
(?:[^a-zA-Z]|\b)oud.?be(ij|y)erland(?:[^a-zA-Z]|\b),6,31,0.1935483870967742
(?:[^a-zA-Z]|\b)zuid.?be(ij|y)erland(?:[^a-zA-Z]|\b),1,20,0.05
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b),2,12,0.16666666666666666
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b),0,0,0.0
