Regex,name,cbscode,amsterdamcode
\bborkel[\s\w]?en[\s\w]?schaft\b,Borkel en Schaft,1026,11013
\bborn\b,Born,897,10927
\bborne\b,Borne,147,10326
\bborsselen?\b,Borssele,1254,10043
\bboschkapelle\b,Boschkapelle,1027,10605
\bboskoop\b,Boskoop,499,10419
\bbovenkarspel\b,Bovenkarspel,379,10945
\bboxmeer\b,Boxmeer,756,11227
\bboxtel\b,Boxtel,757,10083
\bbrakel\b,Brakel,212,11125
\bbrandw(ij|y)k\b,Brandwijk,500,10169
\bbreda\b,Breda,758,10154
\bbreskens\b,Breskens,655,10233
\bbreukelen[\s\w]?n(ij|y)enrode\b,Breukelen-Nijenrode,1028,10807
\bbreukelen[\s\w]?(st[\s\w]?|sint)[\s\w]?pieters\b,Breukelen-Sint Pieters,1029,11149
\bbrielle\b,Brielle,501,10232
\bbroek\b,Broek,1030,11214
\bbroek[\s\w]?in[\s\w]?waterland\b,Broek in Waterland,380,10289
\bbroek[\s\w]?op[\s\w]?langend(ij|y)k\b,Broek op Langedijk,1031,10955
\bbroekhu(ij|y|i)(s|z)en\b,Broekhuizen,898,10856
\bbroeksittard\b,Broeksittard,1032,10655
\bbrouwershaven\b,Brouwershaven,656,10030
\bbruinisse\b,Bruinisse,657,11291
\bbrummen\b,Brummen,213,10798
\bbrunssum\b,Brunssum,899,10533
\bbudel\b,Budel,759,10219
\bbuggenum\b,Buggenum,1033,10857
\bbuiksloot\b,Buiksloot,1034,10961
\bbunde\b,Bunde,900,10831
\bbunnik\b,Bunnik,312,10820
\bbunschoten\b,Bunschoten,313,11343
\bburen\b,Buren,214,11286
\bburgh\b,Burgh,1035,11000
\bbussum\b,Bussum,381,10281
\bbuurmalsen\b,Buurmalsen,215,10460
\bcadier[\s\w]?en[\s\w]?keer\b,Cadier en Keer,901,11447
\bcadzand\b,Cadzand,658,11002
\bcallantsoog\b,Callantsoog,382,10559
\bcapelle[\s\w]?(a[\s\w]?d[\s\w]?|aan[\s\w]?den?)[\s\w]?(ij|y)ssel\b,Capelle,1036,11233
\bcappelle\b,Capelle aan den IJssel,502,11248
\bcastricum\b,Castricum,383,11287
\bchaam\b,Chaam,760,11433
\bcharlois\b,Charlois,1037,10430
\bclinge\b,Clinge,659,10965
\bcoevorden\b,Coevorden,109,10383
\bcol(ij|y)nsplaat\b,Colijnsplaat,1038,10121
\bcothen\b,Cothen,314,11316
\bcromvoirt\b,Cromvoirt,1039,10053
