Regex,name,cbscode,amsterdamcode
\bmaashees\b|\boverloon\b,Maashees en Overloon,1109,10532
\bmaasland\b,Maasland,555,10393
\bmaasniel\b,Maasniel,1110,11261
\bmaassluis\b,Maassluis,556,10880
\bmaastr(ich\w*|\.)\b,Maastricht,935,10182
\bmade|drimmelen\b,Made en Drimmelen,812,10258
\bmargraten\b,Margraten,936,11243
\bmarkelo\b,Markelo,169,11382
\bmarken\b,Marken,419,10901
\bmarum\b,Marum,25,11431
\bmaurik\b,Maurik,264,10300
\bmedemblik\b,Medemblik,420,11215
\bmeeden\b,Meeden,26,10304
\bmeerkerk\b,Meerkerk,557,10618
\bmeerlo\b,Meerlo,937,11416
\bmeerssen\b,Meerssen,938,10494
\bmeeuwen\b|\bmeeuwenn[\s\w]?[\s\w]?heel[\s\w]?[\s\w]?en[\s\w]?babyloni(Ã«|e)nbroek\b,"Meeuwen, Hill en Babyloniënbroek",1264,10216
\bmege(n|n[\s\w]?[\s\w]?haren[\s\w]?[\s\w]?e?n?[\s\w]?macharen)\b,"Megen, Haren en Macharen",813,10988
\bme(ij|y)el\b,Meijel,941,10925
\bherkenbosch[\s\w]?en[\s\w]?melick\b|\bmelick[\s\w]?en[\s\w]?herkenbosch\b,Melick en Herkenbosch,939,10196
\bmeliskerke\b,Meliskerke,1112,11221
\bmelissant\b,Melissant,1113,10918
\bmenaldumadeel\b,Menaldumadeel,83,11144
\bmeppel\b,Meppel,119,11204
\bmerkelbeek\b,Merkelbeek,940,10763
\bmesch\b,Mesch,1114,11070
\bmheer\b,Mheer,942,10538
\bmiddelburg\b,Middelburg (Z.),687,10122
\bmiddelharnis\b,Middelharnis,559,11067
\bmiddelie\b,Middelie,421,10452
\bmiddelstum\b,Middelstum,27,11199
\bmidwold(e|a)\b,Midwolda,28,10356
\bmidwoud\b,Midwoud,422,10924
\bmierlo\b,Mierlo,814,10215
\bm(ij|y)drecht\b,Mijdrecht,336,11379
\bm(ij|y)nsheerenland\b,Mijnsheerenland,564,11112
\bmil(l|l[\s\w]?en[\s\w]?(st[\s\w]?|sint)[\s\w]?hubert)\b,Mill en Sint Hubert,815,10535
\bmillingen\b,Millingen,1259,10072
\bmoer(c|k)apelle\b,Moergestel,816,11191
\bmoergestel\b,Moerkapelle,560,11383
\bmolenaarsgraaf\b,Molenaarsgraaf,561,10166
\bmonni[\s\w]?kendam\b,Monnickendam,423,10983
\bmonster\b,Monster,562,10019
\bmontfoort\b,Montfoort,335,10033
\bmontfort\b,Montfort,943,10266
\bmook[\s\w]?en[\s\w]?middelaar\b,Mook en Middelaar,944,10271
\bmoordrecht\b,Moordrecht,563,10120
\bmuiden\b,Muiden,424,10958
\bmunstergeleen\b,Munstergeleen,945,10273
\bmuntendam\b,Muntendam,29,10550
\bnaaldw(ij|y)k\b,Naaldwijk,565,11418
\bnaarden\b,Naarden,425,10187
\bnederhemert\b,Nederhemert,1115,10310
\bnederhorst[\s\w]?den[\s\w]?berg\b,Nederhorst den Berg,426,10715
\bnederweert\b,Nederweert,946,10681
\bneede\b,Neede,266,10367
\bneer\b,Neer,947,10682
\bneeritter\b,Neeritter,1116,11001
\bneuzen\b,Nibbixwoud,427,10091
\bnibbi(ks|x)woud\b,Nieuw- en Sint Joosland,1117,11340
\bnieuw[\s\w]?be(ij|y)erland\b,Nieuw-Beijerland,566,10092
\bnieuwe[\s\w]?pekela\b,Nieuwe Pekela,30,10950
\bnieuwe[\s\w]?tonge\b,Nieuwe Tonge,1119,10502
\bnieuwendam\b,Nieuwendam,1120,10177
\bnieuwenhagen\b,Nieuwenhagen,948,10088
\bnieuwenhoorn\b,Nieuwenhoorn,1121,10338
\bnieuwe[\s\w]?niedorp\b,Nieuwe-Niedorp,428,10073
\bnieuwer[\s\w]?amstel\b,Nieuwer-Amstel,1249,10799
\bnieuwerkerk\b,Nieuwerkerk,1122,10911
\bnieuwerkerk[\s\w]?(a[\s\w]?d|aan[\s\w]?den?)[\s\w]?(ij|y)ssel\b,Nieuwerkerk aan den IJssel,567,10855
\bnieuwe[\s\w]?schans\b,Nieuweschans,31,10008
\bnieuw[\s\w]?helvoet\b,Nieuw-Helvoet,1118,10264
\bnieuwkoop\b,Nieuwkoop,569,10728
\bnieuwkuik\b,Nieuwkuijk,1123,11278
\bnieuwland\b,Nieuwland,570,11213
\bnieuw[\s\w]?lekkerland\b,Nieuw-Lekkerland,571,10547
\bnieuwleusen\b,Nieuwleusen,170,10384
\bnieuwolda\b,Nieuwolda,32,10126
\bnieuwpoort\b,Nieuwpoort,572,10748
\bnieuwstadt\b,Nieuwstadt,949,11140
\bnieuwveen\b,Nieuwveen,573,10487
\bnieuwvliet\b,Nieuwvliet,690,11165
\bnieuw[\s\w]?vo(s|sse)meer\b,Nieuw-Vossemeer,818,10401
\bnigtevecht\b,Nigtevecht,337,10160
\bn(ij|y)eveen\b,Nijeveen,121,10774
\bn(ij|y)kerk\b,Nijkerk,267,10446
\b(n(ij|y)me(gen|eeg\w*)|nijm\.)\b,Nijmegen,268,11209
\bnisse\b,Nisse,691,11086
\bnistelrode\b,Nistelrode,819,10094
\bnoorbeek\b,Noorbeek,950,10283
\bnoordbroek\b,Noordbroek,1126,10814
\bnoordd(ij|y)k\b,Noorddijk,1127,10979
\bnoordeloos\b,Noordeloos,574,10296
\bnoordgouwe\b,Noordgouwe,1128,11107
\bnoord[\s\w]?scharwoude\b,Noord-Scharwoude,1124,10075
\bnoord[\s\w]?waddin(x|ks)veen\b,Noord-Waddinxveen,1125,11342
\bnoordwelle\b,Noordwelle,1129,10055
\bnoordw(ij|y)k\b,Noordwijk,575,10769
\bnoordw(ij|y)kerhout\b,Noordwijkerhout,576,11134
\bnootdorp\b,Nootdorp,577,10601
\bnorg\b,Norg,120,10608
\bnuene(n|n[\s\w]?[\s\w]?gerwen[\s\w]?[\s\w]?en[\s\w]?nederwetten)\b,"Nuenen, Gerwen en Nederwetten",820,10761
\bnuland\b,Nuland,821,10118
\bnumansdorp\b,Numansdorp,578,11346
\bnunhem\b,Nunhem,1130,10736
\bnuth\b,Nuth,951,10104
\bobbichten([\s\w]?|[\s\w]?en[\s\w]?)papenhoven\b,Obbicht en Papenhoven,952,10388
\bobdam\b,Obdam,429,11338
\bod(ij|y)k\b,Odijk,1131,11003
\bodoorn\b,Odoorn,122,11320
\boeffelt\b,Oeffelt,822,10360
\boegstgeest\b,Oegstgeest,579,10287
\boerle\b,Oerle,1132,10119
\boh(e|Ã©)[\s\w]?en[\s\w]?laak\b,Ohé en Laak,953,10420
\bo(ij|y)e(n|n[\s\w]?en[\s\w]?teeffelen)\b,Oijen en Teeffelen,1150,10869
\boirsbeek\b,Oirsbeek,954,10504
\boirschot\b,Oirschot,823,10225
\boisterw(ij|y)k\b,Oisterwijk,824,10103
\boldebroek\b,Oldebroek,269,11106
\boldehove\b,Oldehove,35,10298
\boldekerk\b,Oldekerk,36,11332
\boldemarkt\b,Oldemarkt,172,10858
\boldenzaal\b,Oldenzaal,173,11100
\bolst\b,Olst,174,10409
\bonstwedde\b,Onstwedde,1250,10610
\booltgensplaat\b,Ooltgensplaat,1133,11163
\bbarendrecht\b,Oost- en West-Barendrecht,1134,10943
\boost[\s\w]?[\s\w]?en[\s\w]?west[\s\w]?[\s\w]?souburg\b,Oost- en West-Souburg,1135,11396
\bmiddelbeers\b,"Oost-, West- en Middelbeers",825,10220
\boostburg\b,Oostburg,692,10782
\boostdongeradeel\b,Oostdongeradeel,84,11102
\boosterhesselen\b,Oosterhesselen,123,10490
\boosterhout\b,Oosterhout,826,11280
\boosterland\b,Oosterland,1136,11237
\boosthuizen\b,Oosthuizen,430,11121
\boostkapelle\b,Oostkapelle,1137,10720
\booststellingwerf\b,Ooststellingwerf,85,10836
\boostvoorne\b,Oostvoorne,581,10009
\boostzaan\b,Oostzaan,431,11303
\bootmarsum\b,Ootmarsum,176,11079
\bophemert\b,Ophemert,270,10829
\boplo(o?|o?[\s\w]?[\s\w]?(sint|st[\s\w]?)[\s\w]?anthonis[\s\w]?e?n?[\s\w]?ledeacker)\b,"Oploo, Sint Anthonis en Ledeacker",827,11415
\bopmeer\b,Opmeer,432,10609
\bopperdoes\b,Opperdoes,433,10523
\bopsterland\b,Opsterland,86,10005
\boss\b,Oss,828,10834
\bossendrecht\b,Ossendrecht,829,10929
\bossenisse\b,Ossenisse,1138,10841
\boterleek\b,Oterleek,434,10133
\bottersum\b,Ottersum,955,10862
\bottoland\b,Ottoland,582,10097
\boud[\s\w]?en[\s\w]?nieuw[\s\w]?gastel\b,Oud en Nieuw Gastel,831,11363
\balblas\b,Oud-Alblas,583,10826
\boud[\s\w]?be(ij|y)erland\b,Oud-Beijerland,584,11301
\bouddorp\b,Ouddorp,1142,11126
\boude[\s\w]?niedorp\b,Oude Pekela,38,10848
\boudelande\b,Oudelande,695,11139
\boudenbosch\b,Oudenbosch,830,10397
\boudend(ij|y)k\b,Oudendijk,435,11090
\boudenhoorn\b,Oudenhoorn,586,10380
\boude[\s\w]?niedorp\b,Oude-Niedorp,436,10896
\boudenr(ij|y)n\b,Oudenrijn,1144,10114
\bouder[\s\w]?amstel\b,Ouder-Amstel,437,10998
\bouderkerk[\s\w]?(a[\s\w]?d|aan[\s\w]?den?)[\s\w]?(ij|y)ssel\b,Ouderkerk aan den IJssel,587,10095
\boude[\s\w]?tonge\b,Oude-Tonge,1143,10714
\boudewater\b,Oudewater,589,10188
\boudheusden\b,Oudheusden,1145,10812
\boudkarspel\b,Oudkarspel,1146,11051
\boudorp\b,Oudorp,438,10363
\boudshoorn\b,Oudshoorn,1147,11011
\boud[\s\w]?valkenburg\b,Oud-Valkenburg,1140,10868
\boud[\s\w]?vossemeer\b,Oud-Vossemeer,696,10134
\boud[\s\w]?vroenhoven\b,Oud-Vroenhoven,1141,11348
\bouwerkerk\b,Ouwerkerk,1148,10968
\boverasselt\b,Overasselt,271,10952
\boverschie\b,Overschie,1149,10683
\boverslag\b,Overslag,697,10730
\bovezande\b,Ovezande,698,11422
\bpannerden\b,Pannerden,272,10518
\bpapekop\b,Papekop,1151,11244
\bpapendrecht\b,Papendrecht,590,10427
\bpeize\b,Peize,124,10501
\bpernis\b,Pernis,1152,11245
\bpetten\b,Petten,1153,11057
\bpeursum\b,Peursum,1154,10391
\bphilippine\b,Philippine,699,10486
\bpiershil\b,Piershil,591,10179
\bp(ij|y)nacker\b,Pijnacker,594,10031
\bpoedero(ij|y)en\b,Poederoijen,1155,10135
\bpolsbroek\b,Polsbroek,338,10993
\bpoortugaal\b,Poortugaal,592,11395
\bpoortvliet\b,Poortvliet,700,11181
\bposterholt\b,Posterholt,956,10456
\bprincenhage\b,Princenhage,1156,10762
\bpurmerend\b,Purmerend,439,11066
\bputte\b,Putte,833,10099
\bputten\b,Putten,273,11109
\bputtershoek\b,Puttershoek,593,10222
\braalte\b,Raalte,177,10279
\braamsdonk\b,Raamsdonk,834,11391
\bransdorp\b,Ransdorp,1157,10789
\brauwerderhem\b,Rauwerderhem,87,10330
\bravenstein\b,Ravenstein,835,10805
\breek\b,Reek,1158,10671
\breeuw(ij|y)k\b,Reeuwijk,595,10485
\brenesse\b,Renesse,1159,10412
\brenkum\b,Renkum,274,11325
\brenswoude\b,Renswoude,339,10269
\bretranchement\b,Retranchement,701,10400
\breusel\b,Reusel,836,10162
\brheden\b,Rheden,275,11355
\brhenen\b,Rhenen,340,10309
\brhoon\b,Rhoon,596,10903
\bridderkerk\b,Ridderkerk,597,10646
\briethoven\b,Riethoven,837,10455
\brietveld\b,Rietveld,1160,10828
\br(ij|y)ckholt\b,Rijckholt,1165,10824
\br(ij|y)nsaterwoude\b,Rijnsaterwoude,601,11129
\brh?(ij|y)nsburg\b,Rijnsburg,602,11118
\br(ij|y)sbergen\b,Rijsbergen,841,10866
\br(ij|y)senburg\b,Rijsenburg,1166,10613
\br(ij|y)ssen\b,Rijssen,178,10358
\br(ij|y)sw(ij|y)k\b,Rijswijk (NB.),842,11016
\br(ij|y)sw(ij|y)k\b,Rijswijk (ZH.),603,11133
\brilland\b,Rilland,1161,10479
\brimburg\b,Rimburg,1162,10020
\britthem\b,Ritthem,1163,10652
\brockanje\b,Rockanje,598,10464
\broden\b,Roden,125,10699
\broermond\b,Roermond,957,11313
\broggel\b,Roggel,958,10505
\brolde\b,Rolde,126,10470
\broo(s|z)endaal[\s\w]?en[\s\w]?nispen\b,Roosendaal en Nispen,838,10407
\broosteren\b,Roosteren,959,10954
\brosmalen\b,Rosmalen,839,10970
\brossum\b,Rossum,276,10860
\brott[\s\w]?rdam|rott\.\b,Rotterdam,599,10345
\bro0?(s|z)enburgh?\b,Rozenburg,600,11314
\broo?(s|z)enda(a|e)l\b,Rozendaal,277,10684
\brucphen\b,Rucphen,840,11152
\bruinen\b,Ruinen,127,10629
\bruinerwold\b,Ruinerwold,128,10944
\bruurlo\b,Ruurlo,278,10879
\bruwiel\b,Ruwiel,1164,10526
\bsambeek\b,Sambeek,1167,10339
\bsappemeer\b,Sappemeer,1168,10080
\bsas[\s\w]?van[\s\w]?gent\b,Sas van Gent,704,11405
\bsassenheim\b,Sassenheim,604,10612
\bschaesbergh?\b,Schaesberg,960,11335
\bschagen\b,Schagen,441,10511
\bscha(ij|y)k\b,Schaijk,843,10276
\bschalkw(ij|y)k\b,Schalkwijk,1169,10378
\bscheemda\b,Scheemda,39,10711
\bschellinkhout\b,Schellinkhout,442,10772
\bschelluinen\b,Schelluinen,605,11399
\bschermerhorn\b,Schermerhorn,443,10308
\bscherpenisse\b,Scherpenisse,705,10375
\bscherpenzeel\b,Scherpenzeel,279,11146
\bschiebroek\b,Schiebroek,1170,11306
\bschieda(m|ams[\s\w]?)\b,Schiedam,606,11260
\bschiermonnikoog\b,Schiermonnikoog,88,10355
\bsch(ij|y)ndel\b,Schijndel,844,11178
\bschimmert\b,Schimmert,961,11076
\bschin[\s\w]?op[\s\w]?geulle\b,Schin op Geul,1171,10780
\bschinnen\b,Schinnen,962,10132
\bschinveld\b,Schinveld,963,10492
\bschipluiden\b,Schipluiden,607,10130
\bschoond(ij|y)ke\b,Schoondijke,706,10189
\bschoonhoven\b,Schoonhoven,608,10980
\bschoonrewoerd\b,Schoonrewoerd,609,10214
\bschoorl\b,Schoorl,444,10627
\bschore\b,Schore,1172,10544
\bschoten\b,Schoten,1173,10382
\bschoterland\b,Schoterland,1174,10680
\bserooskerke\b,Serooskerke (Schouwen-Duivenland),1175,11014
\bserooskerke\b,Serooskerke (Walcheren),1176,11256
\bsevenum\b,Sevenum,964,10045
\bs[\s\w]?graveland\b,'s-Graveland,390,10534
\bs[\s\w]?gravendeel\b,'s-Gravendeel,517,10052
\bgraven[\s\w]?hage|haag\w*|s[\s\w]?hage|grave\.\b,'s-Gravenhage,518,11434
\bs[\s\w]?graven?moer\b,'s-Gravenmoer,787,10469
\bs[\s\w]?graven?polder\b,'s-Gravenpolder,666,11059
\bs[\s\w]?grave(s|z)ande\b,'s-Gravenzande,519,10640
\bs[\s\w]?heer[\s\w]?abtskerke\b,'s-Heer-Abtskerke,669,10337
\bs[\s\w]?heer[\s\w]?arendskerke\b,'s-Heer-Arendskerke,670,10875
\bs[\s\w]?heerenhoek\b,'s-Heerenhoek,671,10721
\bhert[\s\w]?ogenbosch|(s|den)[\s\w]?bosch\b,'s-Hertogenbosch,796,10054
\bs(ij|y)bekarspel\b,Sijbekarspel,447,11167
\bsimpelveld\b,Simpelveld,965,10515
\b(st[\s\w]?|sint)[\s\w]?anna[\s\w]?ter[\s\w]?muiden\b,Sint Anna Termuiden,1177,11012
\b(ste?[\s\w]?|sint)[\s\w]?geertruid\b,Sint Geertruid,966,10288
\b(st[\s\w]?|sint)[\s\w]?jansteen\b,Sint Jansteen,709,10864
\b(st[\s\w]?|sint)[\s\w]?kruis\b,Sint Kruis,1178,10235
\b(st[\s\w]?|sint)[\s\w]?laurens\b,Sint Laurens,1179,10106
\b(st[\s\w]?|sint)[\s\w]?maarten\b,Sint Maarten,445,10740
\b(st[\s\w]?|sint)[\s\w]?odili(e|Ã«)nberg\b,Sint Odiliënberg,967,10278
\b(st[\s\w]?|sint)[\s\w]?pancras\b,Sint Pancras,446,10513
\b(st[\s\w]?|sint)[\s\w]?philipsland\b,Sint Philipsland,712,10394
\b(st[\s\w]?|sint)[\s\w]?pieter\b,Sint Pieter,1180,10137
\b(st[\s\w]?|sint)[\s\w]?annaland\b,Sint-Annaland,708,11200
\b(st[\s\w]?|sint)[\s\w]?maartensd(ij|y)k\b,Sint-Maartensdijk,711,10716
\b(st[\s\w]?|sint)[\s\w]?michiels[\s\w]?gestel\b,Sint-Michielsgestel,845,10496
\b(st[\s\w]?|sint)[\s\w]?oedenrode\b,Sint-Oedenrode,846,10399
\bsittard\b,Sittard,968,11230
\bsleen\b,Sleen,130,10489
\bslenaken\b,Slenaken,969,11274
\bsliedrecht\b,Sliedrecht,610,11331
\bslochteren\b,Slochteren,40,10747
\bsloten\b,Sloten (F.),89,10867
\bsloten\b,Sloten (NH.),1181,10148
\bsluipw(ij|y)k\b,Sluipwijk,1182,11402
\bsluis\b,Sluis,713,10895
\bsmallingerland\b,Smallingerland,90,10405
\bsmilde\b,Smilde,131,11033
\bsneek\b,Sneek,91,11421
\bsnelrewaard\b,Snelrewaard,341,10802
\bsoerendon(k|k[\s\w]?[\s\w]?sterksel[\s\w]?e?n?[\s\w]?gastel)\b,Soerendonk,1183,10047
\bsoest\b,Soest,342,11021
\bsomeren\b,Someren,847,10203
\bsommelsd(ij|y)k\b,Sommelsdijk,1184,11097
\bso(n|n[\s\w]?e?n?[\s\w]?breugel)\b,Son en Breugel,848,10549
\bspaarndam\b,Spaarndam,1185,10192
\bspanbroek\b,Spanbroek,1186,10063
\bspaubeek\b,Spaubeek,970,10552
\bsp(ij|y)kenisse\b,Spijkenisse,612,10735
\bsprang\b,Sprang,1187,10659
\bstad[\s\w]?aan[\s\w]?[\s\w]?t[\s\w]?haringvliet\b,Stad aan 't Haringvliet,1188,11239
\bommen\b,Stad Delden,179,10913
\balmelo\b,Stad-Almelo,1189,11053
\bdoetin?chem\b,Stad-Doetinchem,1190,10603
\bhardenberg\b,Stad-Hardenberg,1191,11169
\bommen\b,Stad-Ommen,1192,10381
\bvollenhove\b,Stad-Vollenhove,1193,11183
\bstanddaarbuiten\b,Standdaarbuiten,850,11212
\bstaphorst\b,Staphorst,180,11362
\bstavenisse\b,Stavenisse,714,10619
\bstavoren\b,Staveren,1257,10240
\bstedum\b,Stedum,41,10771
\bsteenberge(n|n[\s\w]?en[\s\w]?kruisland)\b,Steenbergen en Kruisland,1376,10731
\bsteenderen\b,Steenderen,280,10497
\bsteenw(ij|y)k\b,Steenwijk,181,10546
\bsteenw(ij|y)kerwold\b,Steenwijkerwold,182,11347
\bstein\b,Stein (L.),971,11319
\bstein\b,Stein (ZH.),1194,11437
\bstellendam\b,Stellendam,1195,10087
\bstevensweert\b,Stevensweert,972,11203
\bstiphout\b,Stiphout,1196,11386
\bstolw(ij|y)k\b,Stolwijk,615,11250
\bstompw(ij|y)k\b,Stompwijk,1197,10742
\bstoppeld(ij|y)k\b,Stoppeldijk,1198,10100
\bstoutenburg\b,Stoutenburg,343,10438
\bstrampro(ij|y)\b,Stramproy,973,11186
\bstratum\b,Stratum,1199,10172
\bstreefkerk\b,Streefkerk,616,11105
\bstr(ij|y)en\b,Strijen,617,10558
\bstr(ij|y)p\b,Strijp,1201,10521
\bstrucht\b,Strucht,1200,11034
\bsusteren\b,Susteren,974,10457
\bswalmen\b,Swalmen,975,10474
\bt[\s\w]?zandt\b,'t Zandt,54,10956
\btegelen\b,Tegelen,976,11333
\bten[\s\w]?boer\b,Ten Boer,9,10891
\bter[\s\w]?aar\b,Ter Aar,480,11104
\bterhe(ij|y)den\b,Terheijden,853,10905
\btermunten\b,Termunten,42,11023
\bterneuzen\b,Terneuzen,715,10704
\bterschelling\b,Terschelling,93,11210
\bteteringen\b,Teteringen,854,10677
\btexel\b,Texel,448,10237
\btholen\b,Tholen,716,10376
\bthorn\b,Thorn,977,11195
\btiel\b,Tiel,281,10027
\btienhoven\b,Tienhoven (U.),1202,10035
\btienhoven\b,Tienhoven (ZH.),618,10706
\btietjerksteradeel\b,Tietjerksteradeel,94,11241
\btilb(urg|\.)\b,Tilburg,855,10792
\btongelre\b,Tongelre,1203,11240
\btubbergen\b,Tubbergen,183,10694
\btull[\s\w]?en[\s\w]?[\s\w]?t[\s\w]?waal\b,Tull en 't Waal,1205,11022
\btwisk\b,Twisk,449,10371
\bubach[\s\w]?over[\s\w]?worms\b,Ubach over Worms,978,10146
\bubbergen\b,Ubbergen,282,10408
\buden\b,Uden,856,11141
\budenhout\b,Udenhout,857,11268
\buitgeest\b,Uitgeest,450,11238
\buithoorn\b,Uithoorn,451,11206
\buithuizen\b,Uithuizen,43,11137
\buithuizermeeden\b,Uithuizermeeden,44,10246
\bulestraten\b,Ulestraten,979,11220
\bulrum\b,Ulrum,45,10180
\burk\b,Urk,184,10783
\burmond\b,Urmond,980,10700
\bursem\b,Ursem,452,10696
\busquert\b,Usquert,46,11035
\butingeradeel\b,Utingeradeel,95,10140
\bu[\s\w]?trecht\b,Utrecht,344,10722
\bvaals\b,Vaals,981,10007
\bvalburg\b,Valburg,283,11071
\bvalkenburg\b,Valkenburg (L.),1252,11077
\bvalkenburg\b,Valkenburg (ZH.),619,10028
\bvalkenswaard\b,Valkenswaard,858,11031
\bvarik\b,Varik,284,11064
\bveen\b,Veen,859,10015
\bveendam\b,Veendam,47,11292
\bveenendaal\b,Veenendaal,345,11052
\bveere\b,Veere,717,10369
\bveghel\b,Veghel,860,10985
\bveldhoven\b,Veldhoven en Meerveldhoven,1206,10071
\bveldhuizen\b,Veldhuizen,1207,10713
\bvelp\b,Velp,1208,10170
\bvel(z|s)en\b,Velsen,453,10620
\bvenhuizen\b,Venhuizen,454,10433
\bvenlo\b,Venlo,983,10477
\bvenray\b,Venray,984,11222
\bvesse(m|m[\s\w]?[\s\w]?wintelre[\s\w]?e?n?[\s\w]?knegsel)\b,"Vessem, Wintelre en Knegsel",862,11414
\bveur\b,Veur,1209,10366
\bvianen\b,Vianen,620,10887
\bvierlingsbeek\b,Vierlingsbeek,863,10066
\bvierpolders\b,Vierpolders,621,11056
\bvinkevee(n|n[\s\w]?e?n?[\s\w]?waverveen)\b,Vinkeveen en Waverveen,346,11048
\bvlaardingen\b,Vlaardingen,622,10811
\bvlaardinger[\s\w]?ambacht\b,Vlaardinger-Ambacht,1210,10790
\bvlagtwedde\b,Vlagtwedde,48,11249
\bvledder\b,Vledder,132,11120
\bvleuten\b,Vleuten,1211,10658
\bvlieland\b,Vlieland,96,10211
\bvlierden\b,Vlierden,1212,10268
\bvl(ij|y)men\b,Vlijmen,864,11293
\bvlissingen\b,Vlissingen,718,10270
\bvlist\b,Vlist,623,11174
\bvlodrop\b,Vlodrop,985,10644
\bvoerenda(e|a)l\b,Voerendaal,986,11341
\bvoorburg\b,Voorburg,624,11103
\bvoorhout\b,Voorhout,625,10017
\bvoorschoten\b,Voorschoten,626,10537
\bvoorst\b,Voorst,285,10912
\bvorden\b,Vorden,286,10957
\bvreeland\b,Vreeland,1213,10898
\bvreesw(ij|y)k\b,Vreeswijk,348,10441
\bvries\b,Vries,133,10630
\bvriezenveen\b,Vriezenveen,186,10643
\bvr(ij|y)enban\b,Vrijenban,1215,10853
\bvr(ij|y)hoeve[\s\w]?cappelle\b,Vrijhoeve-Capelle,1216,10870
\bvrouwenpolder\b,Vrouwenpolder,1214,10635
\bvught\b,Vught,865,11224
\bvuren\b,Vuren,287,11376
\bwaalre\b,Waalre,866,10959
\bwaalw(ij|y)k\b,Waalwijk,867,11359
\bwaarde\b,Waarde,721,10082
\bwaardenburg\b,Waardenburg,288,10238
\bwaarder\b,Waarder,1217,10830
\bwadeno(ij|y)en\b,Wadenoijen,1218,10201
\bwageningen\b,Wageningen,289,11010
\bwamel\b,Wamel,290,10042
\bwanneperveen\b,Wanneperveen,187,10105
\bwanroo?(ij|y)\b,Wanroij,868,10265
\bwanssum\b,Wanssum,987,10991
\bwarder\b,Warder,455,11073
\bwarffum\b,Warffum,49,10498
\bwarmenhuizen\b,Warmenhuizen,456,10221
\bwarmond\b,Warmond,628,10204
\bwarnsveld\b,Warnsveld,291,10838
\bwaspik\b,Waspik,869,10402
\bwassenaar\b,Wassenaar,629,10164
\bwatergraafsmeer\b,Watergraafsmeer,1219,11122
\bwateringen\b,Wateringen,630,11329
\bwaterlandkerkje\b,Waterlandkerkje,722,10352
\bwedde\b,Wedde,1220,10247
\bweerselo\b,Weerselo,188,10893
\bweert\b,Weert,988,11081
\bweesp\b,Weesp,457,10773
\bweesperkarspel\b,Weesperkarspel,1221,10377
\bwehl\b,Wehl,292,11116
\bwemeldinge\b,Wemeldinge,723,11145
\bwerkendam\b,Werkendam,870,10078
\bwerkhoven\b,Werkhoven,1223,11299
\bwervershoof\b,Wervershoof,459,11270
\bwessem\b,Wessem,989,10127
\bwestbroek\b,Westbroek,1224,10145
\bwestdongeradeel\b,Westdongeradeel,97,10129
\bwestdorpe\b,Westdorpe,724,10915
\bwesterbork\b,Westerbork,134,11095
\bwesterhoven\b,Westerhoven,871,11041
\bwestervoort\b,Westervoort,293,11085
\bwestkapelle\b,Westkapelle,726,10931
\bwestmaas\b,Westmaas,631,10695
\bweststellingwerf\b,Weststellingwerf,98,11322
\bwestwoud\b,Westwoud,460,11101
\bwestzaan\b,Westzaan,461,11381
\bwierden\b,Wierden,189,10676
\bwieringen\b,Wieringen,462,11277
\bwieringerwaard\b,Wieringerwaard,464,11164
\bw(ij|y)chen\b,Wijchen,296,10723
\bw(ij|y)denes\b,Wijdenes,469,10631
\bw(ij|y)dewormer\b,Wijdewormer,470,10434
\bw(ij|y)he\b,Wijhe,190,10888
\bw(ij|y)k[\s\w]?aan[\s\w]?zee[\s\w]?en[\s\w]?duin\b,Wijk aan Zee en Duin,1229,11366
\bw(ij|y)k[\s\w]?b(ij|y)[\s\w]?duurstede\b,Wijk bij Duurstede,352,10760
\bw(ij|y)(k|k[\s\w]?e?n?[\s\w]?aalburg)\b,Wijk en Aalburg,876,11084
\bw(ij|y)lre\b,Wijlre,991,10131
\bw(ij|y)nandsrade\b,Wijnandsrade,992,10992
\bw(ij|y)ngaarden\b,Wijngaarden,634,10263
\bwildervank\b,Wildervank,1225,10825
\bwillemstad\b,Willemstad,872,10827
\bwilleskop\b,Willeskop,349,10758
\bwillige[\s\w]?langerak\b,Willige-Langerak,1226,10368
\bwilnis\b,Wilnis,350,10365
\bwilsum\b,Wilsum,1227,10194
\bwinkel\b,Winkel,465,10923
\bwinschoten\b,Winschoten,52,10453
\bwinsum\b,Winsum,53,11135
\bwintersw(ij|y)k\b,Winterswijk,294,11119
\bwisch\b,Wisch,295,10318
\bwissenkerke\b,Wissekerke,1253,10243
\bwittem\b,Wittem,990,11371
\bwoensdrecht\b,Woensdrecht,873,10602
\bwoensel\b,Woensel,1228,10894
\bwoerden\b,Woerden,632,10974
\bwognum\b,Wognum,466,10818
\bwolphaartsd(ij|y)k\b,Wolphaartsdijk,728,10543
\bwonseradeel\b,Wonseradeel,99,10454
\bworkum\b,Workum,100,10768
\bwormer\b,Wormer,467,10648
\bwormerveer\b,Wormerveer,468,10361
\bwoubrugge\b,Woubrugge,633,10461
\bwoudenberg\b,Woudenberg,351,11398
\bwoudrichem\b,Woudrichem,874,10282
\bwouw\b,Wouw,875,10808
\bw(ij|y)mbritseradeel\b,Wymbritseradeel,101,11427
\b(ij|y)erseke\b,Yerseke,729,11247
\bzaamslag\b,Zaamslag,731,11173
\bzaandam\b,Zaandam,471,11044
\bzaand(ij|y)k\b,Zaandijk,472,11404
