Location_Regex,n_both,n_total,Normalized_Mentions
aagtekerke,0,3,0.0
aalsmeer,17,44,0.38636363636363635
aalst,21,93,0.22580645161290322
aalten,18,45,0.4
ter.?aar,40,126,0.31746031746031744
aardenburg,5,15,0.3333333333333333
aarlanderveen,8,27,0.2962962962962963
aarle.?rixtel,0,0,0.0
abbekerk,0,2,0.0
