Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)alphen(?:[^a-zA-Z]|\b),Alphen,1008,10517,13,105,0.12380952380952381
(?:[^a-zA-Z]|\b)alphen.?en.?riel(?:[^a-zA-Z]|\b),Alphen en Riel,741,10710,3,3,1.0
(?:[^a-zA-Z]|\b)delden(?:[^a-zA-Z]|\b),Ambt Delden,142,11400,16,124,0.12903225806451613
(?:[^a-zA-Z]|\b)almelo(?:[^a-zA-Z]|\b),Ambt-Almelo,1009,11065,36,232,0.15517241379310345
(?:[^a-zA-Z]|\b)doetin?chem(?:[^a-zA-Z]|\b),Ambt-Doetinchem,1010,10396,5,43,0.11627906976744186
(?:[^a-zA-Z]|\b)hardenberg(?:[^a-zA-Z]|\b),Ambt-Hardenberg,1011,10174,4,35,0.11428571428571428
(?:[^a-zA-Z]|\b)ommen(?:[^a-zA-Z]|\b),Ambt-Ommen,1012,11069,9,66,0.13636363636363635
(?:[^a-zA-Z]|\b)vollenhove(?:[^a-zA-Z]|\b),Ambt-Vollenhove,1013,11088,7,29,0.2413793103448276
(?:[^a-zA-Z]|\b)amb(ij|y)(?:[^a-zA-Z]|\b),Amby,883,10922,0,0,0.0
(?:[^a-zA-Z]|\b)ameide(?:[^a-zA-Z]|\b),Ameide,485,11349,3,13,0.23076923076923078
(?:[^a-zA-Z]|\b)ameland(?:[^a-zA-Z]|\b),Ameland,60,11153,0,21,0.0
(?:[^a-zA-Z]|\b)amerongen(?:[^a-zA-Z]|\b),Amerongen,306,11372,9,99,0.09090909090909091
(?:[^a-zA-Z]|\b)amersfoort(?:[^a-zA-Z]|\b),Amersfoort,307,10948,25,177,0.14124293785310735
(?:[^a-zA-Z]|\b)ammerstol(?:[^a-zA-Z]|\b),Ammerstol,486,10863,1,5,0.2
(?:[^a-zA-Z]|\b)ammerzoden(?:[^a-zA-Z]|\b),Ammerzoden,198,10151,0,4,0.0
(?:[^a-zA-Z]|\b)amstenrade(?:[^a-zA-Z]|\b),Amstenrade,884,10062,2,9,0.2222222222222222
(?:[^a-zA-Z]|\b)amste.?dam(?:[^a-zA-Z]|\b)|(?:[^a-zA-Z]|\b)amst\.(?:[^a-zA-Z]|\b),Amsterdam,363,11150,225,3015,0.07462686567164178
(?:[^a-zA-Z]|\b)andel(?:[^a-zA-Z]|\b),Andel,742,10871,2,28,0.07142857142857142
(?:[^a-zA-Z]|\b)and(ij|y)k(?:[^a-zA-Z]|\b),Andijk,364,10822,0,0,0.0
(?:[^a-zA-Z]|\b)angerlo(?:[^a-zA-Z]|\b),Angerlo,199,11131,3,6,0.5
(?:[^a-zA-Z]|\b)ankeveen(?:[^a-zA-Z]|\b),Ankeveen,1014,10936,0,2,0.0
(?:[^a-zA-Z]|\b)anlo(?:[^a-zA-Z]|\b),Anloo,105,10787,0,2,0.0
(?:[^a-zA-Z]|\b)apeldoorn(?:[^a-zA-Z]|\b),Apeldoorn,200,11075,19,159,0.11949685534591195
(?:[^a-zA-Z]|\b)appeltern(?:[^a-zA-Z]|\b),Appeltern,201,11296,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)appingedam(?:[^a-zA-Z]|\b),Appingedam,3,10886,0,22,0.0
(?:[^a-zA-Z]|\b)arcen.?en.?velden(?:[^a-zA-Z]|\b),Arcen en Velden,885,10202,0,0,0.0
(?:[^a-zA-Z]|\b)arkel(?:[^a-zA-Z]|\b),Arkel,487,10079,1,11,0.09090909090909091
(?:[^a-zA-Z]|\b)arnemuiden(?:[^a-zA-Z]|\b),Arnemuiden,649,11419,1,16,0.0625
(?:[^a-zA-Z]|\b)arnh(em|\.)(?:[^a-zA-Z]|\b),Arnhem,202,10795,111,981,0.11314984709480122
(?:[^a-zA-Z]|\b)asperen(?:[^a-zA-Z]|\b),Asperen,488,11369,2,26,0.07692307692307693
(?:[^a-zA-Z]|\b)assen(?:[^a-zA-Z]|\b),Assen,106,10522,28,296,0.0945945945945946
(?:[^a-zA-Z]|\b)assendelft(?:[^a-zA-Z]|\b),Assendelft,367,11373,0,8,0.0
(?:[^a-zA-Z]|\b)asten(?:[^a-zA-Z]|\b),Asten,743,10478,0,14,0.0
(?:[^a-zA-Z]|\b)avenhorn(?:[^a-zA-Z]|\b),Avenhorn,368,11147,0,0,0.0
